hour,P_gen_gas_MW,P_gen_bio_MW,P_gen_total_MW,Pd_MW
1,0.0,20.0,20.0,15.0
2,0.0,24.999999999999982,24.999999999999982,15.0
3,0.0,24.999999999998852,24.999999999998852,15.0
4,0.0,29.999999999996508,29.999999999996508,25.0
5,40.0,20.0,60.0,25.0
6,40.0,30.0,70.0,35.0
7,44.99999999999999,30.0,75.0,40.0
8,40.0,0.0,40.0,30.0
9,0.0,0.0,0.0,25.0
10,0.0,0.0,0.0,30.0
11,0.0,0.0,0.0,30.0
12,0.0,0.0,0.0,25.0
13,0.0,30.0,30.0,30.0
14,0.0,40.0,40.0,40.0
15,0.0,30.0,30.0,20.0
16,0.0,0.0,0.0,25.0
17,0.0,0.0,0.0,25.0
18,0.0,0.0,0.0,15.0
19,44.99999999999883,0.0,44.99999999999883,20.0
20,49.999999999999986,30.0,79.99999999999999,40.0
21,50.0,35.0,85.0,50.0
22,40.0,24.999999999999996,65.0,30.0
23,0.0,34.99999999999999,34.99999999999999,20.0
24,0.0,24.999999999999993,24.999999999999993,25.0
